Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Research Music Production Programs,2026-06-01,Pending,Check music technology/production programs,Student & Parents
NC State Music Technology Research,2026-06-15,Pending,BS in Music with 2 concentrations,Student
Duke Music Research,2026-06-15,Pending,Check Duke music programs and technology options,Student
UCLA Music Research,2026-06-15,Pending,Check UCLA music industry/production programs,Student
App State Music Programs Research,2026-06-15,Pending,Check App State music technology programs,Student
NC A&T Music Programs Research,2026-06-15,Pending,Check NC A&T music programs,Student
Georgia Tech Music Technology Research,2026-06-15,Pending,Check Georgia Tech music technology options,Student
UNC Charlotte Music Programs Research,2026-06-15,Pending,Check UNC Charlotte music programs,Student
UNC Chapel Hill Music Research,2026-06-15,Pending,Check UNC-CH music programs,Student
Prepare Music Portfolio/Audition,2026-09-01,Pending,If required for music programs,Student
