Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Register for SAT (if taking fall test),2026-09-05,Pending,Last SAT registration for ED/EA; Oct 3 test,Student
Take SAT (final for ED),2026-10-03,Pending,Final SAT opportunity before ED deadline,Student
Duke Early Decision Application Deadline,2026-11-03,Pending,BINDING; middle 50% SAT: 1500-1570,Student & Parents
Duke Regular Decision Application Deadline,2027-01-05,Pending,Non-binding option,Student & Parents
Request Letters of Recommendation,2026-10-01,Pending,Need 2 recommenders,Student
Submit Homeschool Transcript,2026-11-03,Pending,Test-optional for 2026-2027,Parents
Self-Report SAT/ACT Scores,2026-11-03,Pending,Can self-report on Common App,Student
Complete Common App Essays,2026-10-25,Pending,Personal statement + Duke supplements,Student
Submit FAFSA,2026-11-15,Pending,Priority deadline for financial aid,Parents & Student
Submit CSS Profile,2026-11-15,Pending,Required for Duke financial aid,Parents & Student
Duke ED Decision Notification,2026-12-15,Pending,Receive ED admission decision,N/A
Duke RD Decision Notification,2027-04-01,Pending,Receive RD admission decision,N/A
College Decision Day (National),2027-05-01,Pending,Commit to university by this date (if RD),Student & Parents
Enrollment Deposit (if accepted ED),2026-12-20,Pending,Confirm enrollment within 5 days of ED decision,Parents
Enrollment Deposit (if accepted RD),2027-05-01,Pending,Confirm enrollment by May 1,Parents
Duke Orientation Registration,2027-06-01,Pending,Summer orientation sessions,Student & Parents
Housing Application,2027-05-15,Pending,Submit housing preference form,Student & Parents
Course Registration,2027-07-01,Pending,Register for fall courses,Student
