Task/Milestone Name,Target Date,Completion Status,Notes,Responsible Party
Register for SAT (if taking fall test),2026-09-05,Pending,Last SAT registration for EA deadline; Oct 3 test,Student
Take SAT (final for EA),2026-10-03,Pending,Final SAT opportunity before EA deadline,Student
NC State Early Action Application Deadline,2026-11-01,Pending,Non-binding; priority for scholarships/honors,Student & Parents
NC State EA Materials Deadline,2026-11-15,Pending,All supporting documents due,Student & Parents
Request Letters of Recommendation,2026-10-01,Pending,Need 2 recommenders (counselor + 1 other),Student
Submit Homeschool Transcript,2026-11-15,Pending,Must show GPA 2.8+ for test-optional,Parents
Self-Report SAT/ACT Scores,2026-11-01,Pending,Can self-report on Common App,Student
Complete Common App Essays,2026-10-25,Pending,Personal statement + NC State supplements,Student
Submit FAFSA,2026-11-01,Pending,Priority deadline for financial aid,Parents & Student
NC State EA Decision Notification,2027-01-30,Pending,Receive admission decision,N/A
NC State Regular Decision Application Deadline,2027-01-15,Pending,Backup if not applying EA,Student & Parents
NC State RD Materials Deadline,2027-02-01,Pending,All supporting documents due,Student & Parents
NC State RD Decision Notification,2027-03-30,Pending,Receive admission decision,N/A
College Decision Day (National),2027-05-01,Pending,Commit to university by this date,Student & Parents
Enrollment Deposit (if accepted),2027-05-01,Pending,Confirm enrollment by May 1,Parents
NC State Orientation Registration,2027-06-01,Pending,Summer orientation sessions,Student & Parents
Housing Application,2027-05-15,Pending,Submit housing preference form,Student & Parents
Course Registration,2027-07-01,Pending,Register for fall courses,Student
